seed,total_reward,average_reward_per_step,most_used_action_index,most_used_action_count,eMBB_allocation_percent,eMBB_throughput_percent,eMBB_latency_ms,eMBB_jitter_ms,eMBB_plr_percent,eMBB_queue_length,eMBB_dropped,URLLC1_allocation_percent,URLLC1_throughput_percent,URLLC1_latency_ms,URLLC1_jitter_ms,URLLC1_plr_percent,URLLC1_queue_length,URLLC1_dropped,URLLC2_allocation_percent,URLLC2_throughput_percent,URLLC2_latency_ms,URLLC2_jitter_ms,URLLC2_plr_percent,URLLC2_queue_length,URLLC2_dropped,BE1_allocation_percent,BE1_throughput_percent,BE1_latency_ms,BE1_jitter_ms,BE1_plr_percent,BE1_queue_length,BE1_dropped
42.0,483.1848878635942,0.9663697757271884,138.0,341.0,50.0,85.42964564846918,2.1314808539478145,1.400608067186508,0.0,4.0,0.0,20.0,98.04153679653679,1.0125376128385155,0.11994348317849338,0.0,0.0,0.0,15.0,100.0,1.0,0.0,0.0,0.0,0.0,15.0,98.42991341991342,1.0006609385327165,0.025700227488729126,0.0,0.0,0.0
43.0,482.53508243928275,0.9650701648785655,138.0,348.0,50.0,83.81787767787766,2.523107836570663,1.9242960943070881,0.0,24.0,0.0,20.0,98.10476190476192,1.0103754940711462,0.10609422927952292,0.0,0.0,0.0,15.0,100.0,1.0,0.0,0.0,0.0,0.0,15.0,98.62380952380953,1.0,0.0,0.0,0.0,0.0
44.0,481.89795071497036,0.9637959014299408,138.0,325.0,50.0,84.06165945165945,3.330446830620021,2.7550220996417703,0.0,58.0,0.0,20.0,97.2545238095238,1.0119284294234592,0.10856399953460075,0.0,0.0,0.0,15.0,100.0,1.0,0.0,0.0,0.0,0.0,15.0,98.77619047619048,1.0,0.0,0.0,0.0,0.0
45.0,482.74009469182334,0.9654801893836467,138.0,361.0,50.0,85.99869630369632,3.8668619791666665,3.0501743113973965,0.0,8.0,0.0,20.0,97.52031746031746,1.026539809714572,0.19711665964303243,0.0,0.0,0.0,15.0,100.0,1.0,0.0,0.0,0.0,0.0,15.0,98.97031746031746,1.0,0.0,0.0,0.0,0.0
46.0,483.53997046328243,0.9670799409265649,138.0,331.0,50.0,86.25013986013987,2.6099900760833608,2.32229328034907,0.0,7.0,0.0,20.0,97.80690476190476,1.0271493212669682,0.19615963047796747,0.0,0.0,0.0,15.0,100.0,1.0,0.0,0.0,0.0,0.0,15.0,98.90746031746032,1.0013550135501355,0.036785560868558886,0.0,0.0,0.0
47.0,483.50506698938625,0.9670101339787724,138.0,358.0,50.0,86.0474272949273,2.935126582278481,2.2397234338029985,0.0,2.0,0.0,20.0,98.4004761904762,1.0073493385595296,0.08541267928280352,0.0,0.0,0.0,15.0,100.0,1.0,0.0,0.0,0.0,0.0,15.0,98.85506493506493,1.0,0.0,0.0,0.0,0.0
48.0,483.35029474598053,0.966700589491961,138.0,308.0,50.0,86.95120712620712,1.9330951607664826,1.6919481098246,0.0,0.0,0.0,20.0,96.60055555555556,1.0474542758279783,0.31867588562573196,0.0,0.0,0.0,15.0,100.0,1.0,0.0,0.0,0.0,0.0,15.0,98.73309523809523,1.0013157894736842,0.03624994029988397,0.0,0.0,0.0
49.0,484.645483398345,0.96929096679669,138.0,301.0,55.0,87.72372238872238,1.8373333333333333,1.5537716119887832,0.0,3.0,0.0,5.0,97.42761904761905,1.0074478649453824,0.08597903379974485,0.0,4.0,0.0,15.0,100.0,1.0,0.0,0.0,0.0,0.0,25.0,99.19054834054832,1.0,0.0,0.0,0.0,0.0
50.0,483.3030544591526,0.9666061089183051,138.0,331.0,5.0,86.69226412476411,3.8587570621468927,3.753583498900903,0.0,6.0,0.0,55.0,97.87190476190476,1.0030549898167007,0.05518747008081152,0.0,0.0,0.0,15.0,100.0,1.0,0.0,0.0,0.0,0.0,25.0,98.84666666666668,1.0044987146529563,0.07591984762319649,0.0,0.0,0.0
51.0,483.7092811645175,0.967418562329035,138.0,402.0,50.0,85.87646696440814,3.806173249253236,3.608026839690306,0.0,45.0,0.0,20.0,99.19391774891774,1.008130081300813,0.09529031032301662,0.0,0.0,0.0,15.0,100.0,1.0,0.0,0.0,0.0,0.0,15.0,99.39738095238094,1.0006430868167202,0.02535100108607977,0.0,0.0,0.0
