episode,reward,episode_length,timesteps
1,186.907902,500,500
2,164.743271,500,1000
3,186.05288,500,1500
4,182.427611,500,2000
5,180.919848,500,2500
6,179.171687,500,3000
7,182.997557,500,3500
8,180.943999,500,4000
9,179.854949,500,4500
10,183.593708,500,5000
11,185.927853,500,5500
12,195.603947,500,6000
13,179.350049,500,6500
14,186.560313,500,7000
15,182.516876,500,7500
16,187.311078,500,8000
17,190.840781,500,8500
18,184.890227,500,9000
19,194.090474,500,9500
20,186.795857,500,10000
21,184.128016,500,10500
22,195.500851,500,11000
23,185.769845,500,11500
24,190.47251,500,12000
25,187.37265,500,12500
26,186.415168,500,13000
27,192.281152,500,13500
28,195.977779,500,14000
29,188.006693,500,14500
30,202.539945,500,15000
31,210.732796,500,15500
32,185.320314,500,16000
33,198.196348,500,16500
34,193.03716,500,17000
35,189.466172,500,17500
36,191.016616,500,18000
37,193.669024,500,18500
38,186.861287,500,19000
39,189.438315,500,19500
40,189.442883,500,20000
41,218.134117,500,20500
42,188.298326,500,21000
43,194.123247,500,21500
44,192.702073,500,22000
45,209.690485,500,22500
46,198.573869,500,23000
47,234.921933,500,23500
48,195.549686,500,24000
49,197.265353,500,24500
50,213.562605,500,25000
51,192.724601,500,25500
52,207.972013,500,26000
53,204.936396,500,26500
54,213.959331,500,27000
55,198.133214,500,27500
56,200.078443,500,28000
57,237.958353,500,28500
58,197.317939,500,29000
59,186.743531,500,29500
60,199.601236,500,30000
61,193.96077,500,30500
62,208.374834,500,31000
63,213.885232,500,31500
64,214.857169,500,32000
65,202.472168,500,32500
66,205.59316,500,33000
67,240.084553,500,33500
68,245.318369,500,34000
69,197.664174,500,34500
70,185.434731,500,35000
71,231.25601,500,35500
72,207.521818,500,36000
73,194.139695,500,36500
74,218.622824,500,37000
75,235.68245,500,37500
76,241.392071,500,38000
77,211.285996,500,38500
78,238.259383,500,39000
79,258.523154,500,39500
80,204.773771,500,40000
81,238.775002,500,40500
82,211.324481,500,41000
83,215.736437,500,41500
84,224.388561,500,42000
85,219.85971,500,42500
86,240.611277,500,43000
87,228.047061,500,43500
88,203.385494,500,44000
89,236.27367,500,44500
90,247.34449,500,45000
91,197.726602,500,45500
92,216.147102,500,46000
93,245.999916,500,46500
94,211.730272,500,47000
95,239.43305,500,47500
96,241.251636,500,48000
97,260.840978,500,48500
98,263.910654,500,49000
99,250.945992,500,49500
100,228.529093,500,50000
101,224.881221,500,50500
102,215.815064,500,51000
103,204.45239,500,51500
104,240.102533,500,52000
105,250.003088,500,52500
106,212.303023,500,53000
107,234.798429,500,53500
108,252.633704,500,54000
109,251.105669,500,54500
110,270.113012,500,55000
111,254.412891,500,55500
112,256.840603,500,56000
113,242.5975,500,56500
114,260.993951,500,57000
115,238.274825,500,57500
116,250.852034,500,58000
117,255.876121,500,58500
118,199.713536,500,59000
119,251.17301,500,59500
120,240.182406,500,60000
121,248.488886,500,60500
122,243.637246,500,61000
123,247.208869,500,61500
124,250.037706,500,62000
125,261.904061,500,62500
126,253.339332,500,63000
127,252.444963,500,63500
128,276.612458,500,64000
129,259.64898,500,64500
130,254.390097,500,65000
131,257.791892,500,65500
132,252.519095,500,66000
133,257.469705,500,66500
134,248.576361,500,67000
135,253.380818,500,67500
136,262.282024,500,68000
137,247.245031,500,68500
138,245.855035,500,69000
139,264.502705,500,69500
140,249.614989,500,70000
141,257.04965,500,70500
142,257.562111,500,71000
143,256.900576,500,71500
144,246.938194,500,72000
145,245.088122,500,72500
146,256.538874,500,73000
147,253.127726,500,73500
148,255.533157,500,74000
149,259.658386,500,74500
150,237.668761,500,75000
151,260.236141,500,75500
152,256.309938,500,76000
153,277.129589,500,76500
154,256.372605,500,77000
155,254.0815,500,77500
156,261.321522,500,78000
157,255.415883,500,78500
158,267.494577,500,79000
159,255.516474,500,79500
160,254.670722,500,80000
161,243.218256,500,80500
162,263.84649,500,81000
163,263.806739,500,81500
164,262.631405,500,82000
165,252.95205,500,82500
166,251.837371,500,83000
167,249.377933,500,83500
168,251.114215,500,84000
169,254.797374,500,84500
170,254.333213,500,85000
171,265.234167,500,85500
172,252.796953,500,86000
173,251.503048,500,86500
174,251.370734,500,87000
175,242.94169,500,87500
176,257.56152,500,88000
177,250.9049,500,88500
178,261.103365,500,89000
179,257.613372,500,89500
180,242.767618,500,90000
181,258.971039,500,90500
182,259.101968,500,91000
183,261.380414,500,91500
184,252.07563,500,92000
185,268.214162,500,92500
186,263.70619,500,93000
187,261.494528,500,93500
188,257.833098,500,94000
189,245.485497,500,94500
190,271.394586,500,95000
191,264.921066,500,95500
192,250.670814,500,96000
193,252.067896,500,96500
194,254.538825,500,97000
195,263.304094,500,97500
196,246.20429,500,98000
197,271.554178,500,98500
198,263.02575,500,99000
199,266.099156,500,99500
200,237.011563,500,100000
