traffic_load,method,run,seed,slice,total_reward,throughput_percent,latency_ms,jitter_ms,plr_percent,queue_length,total_throughput_bits
low,D3QN,1,42,eMBB,296.6726774468704,0.41666666666666663,88.5,42.76973228814976,87.04061895551257,197,64000.0
low,D3QN,1,42,URLLC1,296.6726774468704,88.02333333333333,1.9466382070437567,2.6918058017302418,0.0,0,2248800.0
low,D3QN,1,42,URLLC2,296.6726774468704,90.4,1.2931726907630523,1.1983898058663578,0.4,0,597600.0
low,D3QN,1,42,BE1,296.6726774468704,8.756666666666666,100.34146341463415,100.92030416611104,47.26930320150659,198,984000.0
low,D3QN,2,43,eMBB,283.9269431323807,0.14666666666666667,115.33333333333333,26.637484032009397,87.26912928759894,190,48000.0
low,D3QN,2,43,URLLC1,283.9269431323807,88.5,1.6878850102669405,2.4912819331732803,0.0,0,2337600.0
low,D3QN,2,43,URLLC2,283.9269431323807,93.2,1.12,0.7222188034107115,0.0,0,600000.0
low,D3QN,2,43,BE1,283.9269431323807,9.166666666666666,152.1578947368421,79.26671376660786,43.84133611691023,193,912000.0
low,D3QN,3,44,eMBB,268.4312906085686,0.8,134.8181818181818,19.69687645665577,86.75016479894528,190,176000.0
low,D3QN,3,44,URLLC1,268.4312906085686,67.43714285714286,5.091891891891892,5.990008725273543,1.45681581685744,22,2220000.0
low,D3QN,3,44,URLLC2,268.4312906085686,79.4,1.424,1.1472680593479452,0.0,0,600000.0
low,D3QN,3,44,BE1,268.4312906085686,20.49,139.29957805907173,74.85766324603921,16.122840690978887,200,2844000.0
low,D3QN,4,45,eMBB,310.9858189227409,0.2666666666666666,93.6,59.314753645277825,86.32996632996634,198,80000.0
low,D3QN,4,45,URLLC1,310.9858189227409,91.27666666666667,1.4820909970958374,1.4223763855719052,0.0,0,2479200.0
low,D3QN,4,45,URLLC2,310.9858189227409,90.2,1.176,0.7382574076837971,0.0,0,600000.0
low,D3QN,4,45,BE1,310.9858189227409,10.629999999999999,108.40366972477064,72.44106991469916,39.8406374501992,193,1308000.0
low,D3QN,5,46,eMBB,315.9115468150147,0.16666666666666666,46.666666666666664,53.42492135906446,86.63940013633265,193,48000.0
low,D3QN,5,46,URLLC1,315.9115468150147,95.03333333333333,1.1610942249240122,0.6717531526628997,0.0,0,2368800.0
low,D3QN,5,46,URLLC2,315.9115468150147,95.6,1.064,0.38458289093510134,0.0,0,600000.0
low,D3QN,5,46,BE1,315.9115468150147,4.516666666666666,87.09302325581395,60.10371421928056,53.069306930693074,194,516000.0
low,D3QN,6,47,eMBB,302.4889006157381,0.38166666666666665,77.8,65.55425234109532,87.59305210918114,195,80000.0
low,D3QN,6,47,URLLC1,302.4889006157381,86.41095238095238,2.0910852713178296,2.3347389145106465,0.0,0,2476800.0
low,D3QN,6,47,URLLC2,302.4889006157381,89.0,1.36,1.2768711759609894,0.0,0,600000.0
low,D3QN,6,47,BE1,302.4889006157381,8.773333333333332,109.56701030927834,51.42683867809273,46.85185185185185,190,1164000.0
low,D3QN,7,48,eMBB,303.33464914915305,0.8066666666666666,119.0,49.32882862316247,86.48998060762767,200,144000.0
low,D3QN,7,48,URLLC1,303.33464914915305,85.30333333333333,1.834,1.8424016934425567,0.0,0,2400000.0
low,D3QN,7,48,URLLC2,303.33464914915305,87.0,1.244,0.8628232727505675,0.0,0,600000.0
low,D3QN,7,48,BE1,303.33464914915305,13.816666666666666,137.4,73.41825386101198,33.730158730158735,189,1740000.0
low,D3QN,8,49,eMBB,303.02687329316063,0.0,0.0,0.0,88.11282740094023,177,0.0
low,D3QN,8,49,URLLC1,303.02687329316063,96.50285714285712,1.0396659707724425,0.23408127416133245,0.0,0,2299200.0
low,D3QN,8,49,URLLC2,303.02687329316063,95.8,1.06,0.37999999999999995,0.0,0,600000.0
low,D3QN,8,49,BE1,303.02687329316063,9.116666666666665,42.28395061728395,30.836580236610533,44.53608247422681,188,972000.0
low,D3QN,9,50,eMBB,297.91396324462096,0.2,80.0,0.0,86.67117726657646,196,16000.0
low,D3QN,9,50,URLLC1,297.91396324462096,90.85380952380953,1.1787072243346008,0.5738296419745545,0.0,0,2524800.0
low,D3QN,9,50,URLLC2,297.91396324462096,98.4,1.0,0.0,0.0,0,600000.0
low,D3QN,9,50,BE1,297.91396324462096,7.466666666666666,125.02150537634408,85.20954291736024,42.17821782178218,199,1116000.0
low,D3QN,10,51,eMBB,292.41319852710905,0.64,149.75,1.479019945774904,86.02442333785618,198,128000.0
low,D3QN,10,51,URLLC1,292.41319852710905,91.87333333333335,1.354251012145749,1.0882200235173012,0.0,0,2371200.0
low,D3QN,10,51,URLLC2,292.41319852710905,93.6,1.104,0.5631909090175373,0.0,0,600000.0
low,D3QN,10,51,BE1,292.41319852710905,11.016666666666666,108.58064516129032,73.21985196764886,41.63346613545817,200,1116000.0
low,PPO,1,42,eMBB,254.39672797989925,0.0,0.0,0.0,87.29851708575113,197,0.0
low,PPO,1,42,URLLC1,254.39672797989925,99.49,1.0,0.0,0.0,0,2248800.0
low,PPO,1,42,URLLC2,254.39672797989925,96.0,1.1847389558232932,1.0632639149051715,0.4,0,597600.0
low,PPO,1,42,BE1,254.39672797989925,0.0,0.0,0.0,62.335216572504706,200,0.0
low,PPO,2,43,eMBB,259.8062923725177,0.0,0.0,0.0,87.46701846965699,190,0.0
low,PPO,2,43,URLLC1,259.8062923725177,99.48333333333333,1.0,0.0,0.0,0,2337600.0
low,PPO,2,43,URLLC2,259.8062923725177,96.0,1.172,0.8935412693323124,0.0,0,600000.0
low,PPO,2,43,BE1,259.8062923725177,0.2,0.0,0.0,59.707724425887264,193,0.0
